f,S11,S12 mag,S12 Fase,S22,R mag,Alfa,H12 mag,H12 fase,Coherencia
9076,0.08,0.22,-2.96,1.56,1.04,-0.08,2.55,-2.96,0.35
9081,0.11,0.23,-2.92,1.22,1.05,-0.1,2.16,-2.92,0.4
9087,0.11,0.22,-3.08,1.14,1.01,-0.03,2.07,-3.08,0.4
9092,0.09,0.17,-3.07,0.89,1.02,-0.03,1.76,-3.07,0.33
9097,0.1,0.17,-3.03,0.85,1.03,-0.05,1.72,-3.03,0.34
9103,0.1,0.2,3.13,1.16,1.0,0.0,2.09,3.13,0.36
9108,0.09,0.21,-3.12,1.27,1.0,-0.01,2.21,-3.12,0.36
9113,0.11,0.22,-2.94,1.07,1.04,-0.08,2.02,-2.94,0.42
9119,0.08,0.17,-2.87,1.15,1.05,-0.11,2.07,-2.87,0.3
9124,0.08,0.14,-3.11,1.02,1.01,-0.01,1.83,-3.11,0.26
9130,0.07,0.14,3.09,1.08,0.99,0.02,1.89,3.09,0.24
9135,0.1,0.19,-3.06,1.04,1.02,-0.03,1.97,-3.06,0.37
9140,0.09,0.15,3.1,0.89,0.99,0.02,1.72,3.1,0.29
9146,0.09,0.15,-3.12,0.94,1.0,-0.01,1.77,-3.12,0.28
9151,0.08,0.17,3.11,1.16,1.0,0.01,2.06,3.11,0.3
9156,0.1,0.17,3.11,0.9,0.99,0.01,1.78,3.11,0.34
9162,0.06,0.09,3.03,0.87,0.98,0.04,1.51,3.03,0.15
9167,0.1,0.17,3.04,0.76,0.98,0.04,1.62,3.04,0.35
9173,0.09,0.14,2.96,0.76,0.97,0.06,1.56,2.96,0.29
9178,0.1,0.13,3.13,0.61,1.0,0.0,1.39,3.13,0.31
9183,0.1,0.17,2.88,0.78,0.96,0.08,1.68,2.88,0.37
9189,0.08,0.13,3.1,0.83,0.99,0.01,1.63,3.1,0.26
9194,0.09,0.17,3.03,0.97,0.98,0.03,1.88,3.03,0.33
9200,0.1,0.16,2.92,0.8,0.97,0.07,1.67,2.92,0.34
9205,0.07,0.11,-3.13,0.84,1.0,-0.0,1.65,-3.13,0.21
9210,0.09,0.14,-3.05,0.78,1.01,-0.03,1.61,-3.05,0.28
9216,0.1,0.16,-3.0,0.77,1.02,-0.04,1.63,-3.0,0.34
9221,0.09,0.13,3.02,0.75,0.98,0.03,1.55,3.02,0.28
9226,0.11,0.18,3.04,0.75,0.99,0.03,1.6,3.04,0.38
9232,0.1,0.18,-2.93,0.81,1.03,-0.06,1.71,-2.93,0.38
9237,0.09,0.14,3.12,0.73,1.0,0.0,1.54,3.12,0.3
9243,0.12,0.16,3.08,0.54,0.99,0.02,1.34,3.08,0.39
9248,0.11,0.19,3.06,0.76,0.99,0.02,1.62,3.06,0.4
9253,0.11,0.18,-3.05,0.79,1.01,-0.02,1.65,-3.05,0.38
9259,0.09,0.11,-3.12,0.58,1.0,-0.0,1.3,-3.12,0.25
9264,0.11,0.2,-2.95,0.84,1.02,-0.04,1.74,-2.95,0.41
9270,0.08,0.14,-3.05,0.84,1.01,-0.02,1.71,-3.05,0.29
9275,0.13,0.22,-2.95,0.75,1.02,-0.04,1.64,-2.95,0.47
9280,0.1,0.16,-2.99,0.76,1.02,-0.03,1.6,-2.99,0.33
9286,0.08,0.11,3.02,0.62,0.99,0.02,1.37,3.02,0.25
9291,0.09,0.11,-2.91,0.56,1.02,-0.05,1.29,-2.91,0.26
9296,0.08,0.11,-2.96,0.69,1.02,-0.03,1.45,-2.96,0.24
9302,0.08,0.12,3.11,0.72,1.0,0.0,1.51,3.11,0.26
9307,0.07,0.09,-2.79,0.62,1.03,-0.07,1.32,-2.79,0.2
9313,0.12,0.18,-3.0,0.63,1.01,-0.02,1.55,-3.0,0.45
9318,0.08,0.13,3.0,0.83,0.99,0.02,1.67,3.0,0.26
9323,0.08,0.1,3.08,0.58,1.0,0.01,1.29,3.08,0.23
9329,0.06,0.06,3.06,0.56,0.99,0.01,0.97,3.06,0.1
9334,0.07,0.09,-3.07,0.6,1.01,-0.01,1.24,-3.07,0.19
9340,0.08,0.11,3.04,0.67,0.99,0.01,1.43,3.04,0.25
9345,0.07,0.1,-2.92,0.74,1.01,-0.03,1.49,-2.92,0.2
9350,0.08,0.11,3.01,0.65,0.99,0.02,1.38,3.01,0.22
9356,0.07,0.08,2.94,0.63,0.99,0.02,1.23,2.94,0.16
9361,0.07,0.1,2.87,0.66,0.99,0.03,1.38,2.87,0.21
9366,0.08,0.1,2.9,0.62,0.99,0.02,1.32,2.9,0.21
9372,0.07,0.08,2.96,0.54,0.99,0.02,1.15,2.96,0.17
9377,0.06,0.06,2.87,0.62,0.99,0.02,1.06,2.87,0.1
9383,0.08,0.09,2.84,0.52,0.99,0.02,1.15,2.84,0.19
9388,0.07,0.08,2.85,0.52,0.99,0.02,1.09,2.85,0.16
9393,0.08,0.11,2.82,0.64,0.99,0.02,1.4,2.82,0.24
9399,0.07,0.07,2.69,0.52,0.99,0.03,1.06,2.69,0.14
9404,0.06,0.07,2.25,0.54,0.98,0.05,1.18,2.25,0.15
9410,0.06,0.06,2.5,0.5,0.98,0.03,0.97,2.5,0.11
9415,0.08,0.08,2.46,0.44,0.99,0.03,1.07,2.46,0.2
9420,0.08,0.08,2.55,0.42,0.99,0.02,1.03,2.55,0.19
9426,0.08,0.07,2.28,0.36,0.99,0.02,0.96,2.28,0.2
9431,0.06,0.06,2.72,0.45,1.0,0.01,0.95,2.72,0.13
9436,0.09,0.11,2.87,0.51,1.0,0.0,1.21,2.87,0.26
9442,0.07,0.08,2.73,0.51,1.0,0.0,1.13,2.73,0.18
9447,0.07,0.06,2.67,0.38,1.0,-0.0,0.84,2.67,0.13
9453,0.08,0.06,2.51,0.33,1.0,-0.01,0.79,2.51,0.15
9458,0.08,0.08,2.54,0.37,1.01,-0.01,0.92,2.54,0.19
9463,0.08,0.09,2.69,0.46,1.01,-0.01,1.11,2.69,0.22
9469,0.09,0.06,2.99,0.27,1.0,-0.0,0.64,2.99,0.13
9474,0.09,0.06,3.03,0.28,1.0,-0.0,0.69,3.03,0.16
9479,0.09,0.09,3.06,0.41,1.0,-0.0,1.01,3.06,0.23
9485,0.1,0.08,3.07,0.31,1.0,-0.0,0.81,3.07,0.21
9490,0.06,0.03,-3.06,0.29,1.0,0.0,0.47,-3.06,0.05
9496,0.1,0.08,-2.81,0.32,0.99,0.02,0.83,-2.81,0.21
9501,0.08,0.06,-1.93,0.24,0.95,0.1,0.74,-1.93,0.17
9506,0.08,0.06,-2.54,0.34,0.97,0.05,0.8,-2.54,0.15
9512,0.06,0.06,-1.64,0.32,0.92,0.16,0.91,-1.64,0.16
9517,0.05,0.07,-1.01,0.34,0.85,0.28,1.33,-1.01,0.28
9523,0.04,0.05,-0.6,0.37,0.72,0.48,1.12,-0.6,0.14
9528,0.04,0.05,0.47,0.4,1.34,-0.79,1.43,0.47,0.19
9533,0.04,0.03,0.54,0.41,1.45,-1.1,0.81,0.54,0.06
9539,0.04,0.03,1.48,0.45,1.13,-0.29,0.66,1.48,0.04
9544,0.04,0.03,1.39,0.43,1.16,-0.35,0.72,1.39,0.05
9549,0.05,0.02,2.16,0.35,1.07,-0.14,0.48,2.16,0.03
9555,0.05,0.01,2.18,0.39,1.05,-0.11,0.31,2.18,0.01
9560,0.04,0.06,0.9,0.5,1.3,-0.7,1.49,0.9,0.18
9566,0.04,0.03,0.59,0.4,1.55,-1.41,0.76,0.59,0.05
9571,0.04,0.07,0.81,0.41,1.35,-0.82,1.55,0.81,0.25
9576,0.06,0.1,1.29,0.47,1.22,-0.48,1.7,1.29,0.35
9582,0.08,0.13,1.59,0.39,1.18,-0.39,1.53,1.59,0.49
9587,0.06,0.09,1.38,0.39,1.24,-0.53,1.5,1.38,0.33
9593,0.07,0.07,1.84,0.33,1.16,-0.35,1.1,1.84,0.25
9598,0.05,0.07,1.42,0.38,1.26,-0.58,1.34,1.42,0.25
9603,0.04,0.03,0.98,0.36,1.46,-1.14,0.79,0.98,0.07
9609,0.05,0.08,1.34,0.48,1.28,-0.64,1.53,1.34,0.27
9614,0.04,0.07,0.89,0.49,1.47,-1.15,1.52,0.89,0.21
9619,0.05,0.07,1.09,0.4,1.41,-1.0,1.43,1.09,0.27
9625,0.04,0.06,0.88,0.38,1.55,-1.4,1.44,0.88,0.24
9630,0.06,0.09,0.87,0.33,1.53,-1.34,1.54,0.87,0.4
9636,0.06,0.09,0.99,0.37,1.46,-1.14,1.59,0.99,0.4
