f,S11,S12 mag,S12 Fase,S22,R mag,Alfa,H12 mag,H12 fase,Coherencia
4688,6.67,2.51,1.77,1.12,0.98,0.05,0.38,1.77,0.84
4694,4.0,1.35,1.79,0.63,0.98,0.04,0.34,1.79,0.73
4699,6.27,2.56,1.85,1.23,0.98,0.03,0.41,1.85,0.85
4705,4.75,2.14,1.76,1.17,0.99,0.03,0.45,1.76,0.83
4710,3.92,2.09,1.58,1.32,0.99,0.03,0.53,1.58,0.84
4715,6.98,4.2,1.48,2.74,0.99,0.02,0.6,1.48,0.92
4721,3.86,2.17,1.23,1.4,1.0,0.0,0.56,1.23,0.87
4726,4.33,2.46,1.13,1.57,1.01,-0.01,0.57,1.13,0.89
4731,3.56,2.19,1.0,1.52,1.02,-0.04,0.61,1.0,0.89
4737,2.49,1.48,0.89,1.05,1.03,-0.06,0.59,0.89,0.84
4742,2.99,1.79,0.81,1.24,1.05,-0.09,0.6,0.81,0.87
4748,3.51,2.02,0.64,1.31,1.06,-0.12,0.58,0.64,0.88
4753,5.94,3.04,0.57,1.69,1.06,-0.12,0.51,0.57,0.92
4758,7.42,3.71,0.45,1.99,1.06,-0.13,0.5,0.45,0.93
4764,4.88,2.32,0.39,1.22,1.06,-0.12,0.48,0.39,0.9
4769,7.78,3.18,0.38,1.42,1.05,-0.1,0.41,0.38,0.92
4774,6.56,2.27,0.32,0.91,1.03,-0.07,0.35,0.32,0.87
4780,6.62,1.88,0.27,0.65,1.02,-0.05,0.28,0.27,0.82
4785,8.57,2.36,0.25,0.77,1.02,-0.04,0.28,0.25,0.85
4791,6.59,1.34,0.18,0.39,1.01,-0.02,0.2,0.18,0.7
4796,7.86,1.18,0.28,0.31,1.01,-0.02,0.15,0.28,0.57
4801,8.91,1.01,0.68,0.25,1.02,-0.04,0.11,0.68,0.46
4807,10.27,1.01,1.37,0.24,1.02,-0.05,0.1,1.37,0.42
4812,8.11,1.28,1.61,0.35,1.04,-0.08,0.16,1.61,0.58
4818,8.57,1.86,1.56,0.53,1.05,-0.11,0.22,1.56,0.76
4823,10.09,2.52,1.69,0.77,1.06,-0.13,0.25,1.69,0.82
4828,8.69,2.21,1.77,0.7,1.06,-0.13,0.25,1.77,0.8
4834,8.79,2.61,1.7,0.92,1.08,-0.16,0.3,1.7,0.84
4839,6.53,2.25,1.72,0.93,1.09,-0.19,0.34,1.72,0.83
4844,8.41,2.87,1.66,1.12,1.1,-0.21,0.34,1.66,0.87
4850,4.99,1.72,1.7,0.74,1.1,-0.21,0.34,1.7,0.8
4855,5.19,1.92,1.67,0.86,1.11,-0.24,0.37,1.67,0.83
4861,5.4,2.0,1.73,0.89,1.11,-0.24,0.37,1.73,0.83
4866,5.27,2.05,1.74,0.96,1.12,-0.26,0.39,1.74,0.83
4871,3.75,1.59,1.89,0.85,1.12,-0.25,0.42,1.89,0.8
4877,4.03,1.7,1.89,0.89,1.12,-0.26,0.42,1.89,0.81
4882,3.87,1.65,1.82,0.87,1.14,-0.29,0.43,1.82,0.81
4888,2.57,1.26,1.97,0.82,1.13,-0.28,0.49,1.97,0.75
4893,2.57,1.17,1.98,0.72,1.13,-0.27,0.46,1.98,0.74
4898,1.86,0.85,1.77,0.55,1.16,-0.35,0.46,1.77,0.7
4904,1.96,1.04,1.86,0.75,1.17,-0.37,0.53,1.86,0.73
4909,1.7,0.92,1.79,0.68,1.19,-0.41,0.54,1.79,0.73
4914,1.9,1.01,1.95,0.75,1.16,-0.35,0.53,1.95,0.72
4920,1.48,0.71,2.05,0.54,1.14,-0.31,0.48,2.05,0.62
4925,0.96,0.45,2.18,0.45,1.13,-0.27,0.47,2.18,0.47
4931,1.0,0.58,2.09,0.6,1.16,-0.34,0.58,2.09,0.56
4936,0.86,0.47,2.27,0.54,1.13,-0.27,0.55,2.27,0.48
4941,1.11,0.83,2.27,0.99,1.14,-0.31,0.75,2.27,0.64
4947,1.19,0.91,2.23,1.03,1.16,-0.33,0.77,2.23,0.68
4952,0.82,0.74,2.17,1.13,1.18,-0.39,0.91,2.17,0.6
4958,0.74,0.75,2.23,1.3,1.17,-0.37,1.01,2.23,0.59
4963,0.87,1.02,2.3,1.85,1.15,-0.33,1.17,2.3,0.65
4968,0.84,1.09,2.21,2.1,1.18,-0.38,1.29,2.21,0.67
4974,0.59,0.73,2.28,1.65,1.17,-0.36,1.23,2.28,0.54
4979,0.6,0.95,2.32,2.55,1.15,-0.33,1.59,2.32,0.59
4984,0.71,1.17,2.13,2.91,1.2,-0.44,1.64,2.13,0.66
4990,0.6,1.05,2.08,2.95,1.21,-0.47,1.73,2.08,0.62
4995,0.74,1.47,2.04,4.2,1.21,-0.47,1.99,2.04,0.7
5001,0.57,1.31,1.86,4.69,1.24,-0.54,2.32,1.86,0.65
5006,0.63,1.33,1.81,4.19,1.27,-0.62,2.12,1.81,0.67
5011,0.55,1.28,1.78,4.75,1.27,-0.61,2.33,1.78,0.63
5017,0.57,1.33,1.72,4.7,1.29,-0.66,2.35,1.72,0.67
5022,0.45,1.2,1.67,5.44,1.28,-0.64,2.64,1.67,0.58
5028,0.5,1.38,1.54,6.01,1.3,-0.69,2.76,1.54,0.63
5033,0.65,1.92,1.49,7.58,1.3,-0.69,2.93,1.49,0.74
5038,0.47,1.47,1.35,7.3,1.31,-0.71,3.14,1.35,0.63
5044,0.53,1.85,1.35,9.59,1.28,-0.63,3.49,1.35,0.67
5049,0.46,1.52,1.24,8.05,1.31,-0.71,3.34,1.24,0.63
5054,0.54,1.77,1.22,8.19,1.32,-0.74,3.3,1.22,0.71
5060,0.38,1.31,0.93,7.48,1.31,-0.72,3.41,0.93,0.6
5065,0.4,1.31,0.85,6.94,1.33,-0.77,3.26,0.85,0.62
5071,0.37,1.25,0.6,6.74,1.26,-0.6,3.36,0.6,0.62
5076,0.4,1.31,0.67,6.84,1.3,-0.68,3.31,0.67,0.63
5081,0.55,1.92,0.55,9.08,1.24,-0.53,3.51,0.55,0.74
5087,0.57,1.62,0.51,6.1,1.33,-0.76,2.84,0.51,0.76
5092,0.61,1.63,0.44,5.45,1.33,-0.78,2.65,0.44,0.79
5097,0.8,2.12,0.44,6.73,1.34,-0.79,2.66,0.44,0.84
5103,0.82,2.03,0.37,5.87,1.34,-0.78,2.48,0.37,0.86
5108,0.82,2.1,0.54,6.32,1.43,-1.06,2.57,0.54,0.85
5114,0.9,1.89,0.5,4.56,1.64,-1.68,2.09,0.5,0.87
5119,0.99,2.12,0.53,5.19,1.63,-1.67,2.14,0.53,0.88
5124,1.04,2.16,0.59,5.12,1.73,-2.01,2.08,0.59,0.88
5130,0.95,1.81,0.68,4.0,1.96,-2.86,1.91,0.68,0.86
5135,1.34,2.44,0.64,4.94,2.07,-3.29,1.82,0.64,0.9
5141,1.3,2.17,0.74,4.03,2.39,-4.71,1.67,0.74,0.9
5146,1.32,2.23,0.78,4.21,2.37,-4.62,1.69,0.78,0.9
5151,1.13,1.82,0.9,3.33,2.46,-5.08,1.61,0.9,0.88
5157,1.36,2.12,0.89,3.73,2.59,-5.73,1.56,0.89,0.89
5162,1.18,1.86,1.06,3.36,2.34,-4.49,1.57,1.06,0.87
5167,1.51,2.27,1.07,3.87,2.45,-5.02,1.5,1.07,0.89
5173,0.94,1.35,1.18,2.4,2.34,-4.49,1.44,1.18,0.82
5178,1.34,1.97,1.2,3.36,2.31,-4.34,1.48,1.2,0.87
5184,1.4,1.92,1.29,3.04,2.27,-4.15,1.37,1.29,0.86
5189,1.21,1.56,1.47,2.45,2.03,-3.13,1.28,1.47,0.82
5194,1.44,2.04,1.59,3.46,1.85,-2.42,1.42,1.59,0.84
5200,1.34,1.75,1.66,2.81,1.81,-2.29,1.3,1.66,0.81
5205,1.09,1.55,1.76,2.83,1.7,-1.9,1.42,1.76,0.78
5211,1.26,1.86,1.94,3.45,1.56,-1.42,1.48,1.94,0.8
5216,1.05,1.52,1.95,2.88,1.56,-1.43,1.45,1.95,0.77
5221,1.69,2.75,2.08,5.22,1.45,-1.11,1.63,2.08,0.86
5227,1.22,2.09,2.25,4.51,1.35,-0.83,1.72,2.25,0.79
5232,1.39,2.39,2.34,5.1,1.31,-0.72,1.73,2.34,0.81
5237,1.28,2.27,2.34,5.03,1.31,-0.72,1.77,2.34,0.8
5243,0.99,1.81,2.51,4.4,1.24,-0.53,1.82,2.51,0.75
5248,1.07,1.84,2.5,4.15,1.25,-0.56,1.73,2.5,0.77
5254,1.11,2.33,2.51,6.14,1.23,-0.5,2.09,2.51,0.79
5259,1.33,2.62,2.67,6.33,1.17,-0.37,1.98,2.67,0.82
5264,1.04,2.16,2.72,5.83,1.15,-0.32,2.07,2.72,0.77
5270,0.98,2.29,2.71,6.9,1.15,-0.31,2.33,2.71,0.77
5275,0.98,1.97,2.82,5.19,1.12,-0.24,2.01,2.82,0.76
5281,0.86,1.84,2.85,5.39,1.1,-0.22,2.13,2.85,0.73
5286,0.99,2.44,2.77,7.61,1.13,-0.27,2.45,2.77,0.79
5291,0.64,1.28,2.84,3.96,1.11,-0.24,1.98,2.84,0.64
5297,0.75,1.78,2.85,5.95,1.1,-0.21,2.38,2.85,0.71
5302,0.64,1.38,2.89,4.49,1.09,-0.19,2.15,2.89,0.66
5307,0.87,1.81,2.86,5.12,1.1,-0.22,2.09,2.86,0.74
5313,0.89,1.95,2.88,5.7,1.09,-0.2,2.19,2.88,0.75
5318,0.56,1.3,2.94,4.65,1.07,-0.15,2.31,2.94,0.65
5324,0.78,1.57,2.77,4.41,1.15,-0.32,2.01,2.77,0.72
5329,0.51,1.13,2.79,3.98,1.14,-0.29,2.19,2.79,0.62
5334,0.79,1.43,2.72,3.61,1.18,-0.4,1.82,2.72,0.72
5340,0.66,1.22,2.65,3.36,1.21,-0.47,1.86,2.65,0.67
5345,0.55,0.86,2.77,2.24,1.17,-0.37,1.55,2.77,0.59
5351,0.69,1.11,2.64,2.69,1.24,-0.53,1.61,2.64,0.67
5356,0.9,1.39,2.76,2.9,1.18,-0.39,1.53,2.76,0.73
5361,0.84,1.21,2.77,2.46,1.18,-0.38,1.44,2.77,0.71
5367,0.56,0.68,2.77,1.44,1.19,-0.41,1.22,2.77,0.58
5372,0.72,0.77,2.71,1.32,1.23,-0.5,1.08,2.71,0.63
5377,0.7,0.63,2.66,0.98,1.25,-0.57,0.91,2.66,0.58
5383,0.95,0.77,2.76,0.96,1.19,-0.43,0.81,2.76,0.66
5388,0.89,0.56,2.93,0.62,1.1,-0.21,0.63,2.93,0.58
5394,0.62,0.4,2.96,0.54,1.08,-0.18,0.65,2.96,0.48
5399,1.03,0.56,-3.07,0.53,0.97,0.06,0.54,-3.07,0.57
5404,1.05,0.62,-2.68,0.6,0.81,0.34,0.6,-2.68,0.62
5410,1.13,0.63,-2.56,0.56,0.77,0.41,0.56,-2.56,0.63
5415,0.75,0.51,-2.34,0.58,0.67,0.56,0.68,-2.34,0.6
5420,1.21,0.83,-2.42,0.81,0.7,0.52,0.68,-2.42,0.7
5426,1.21,0.83,-2.19,0.79,0.61,0.63,0.69,-2.19,0.72
5431,1.2,0.93,-2.21,0.98,0.6,0.64,0.78,-2.21,0.74
5437,1.29,1.14,-2.19,1.3,0.58,0.66,0.88,-2.19,0.77
5442,1.28,1.35,-2.09,1.75,0.54,0.71,1.05,-2.09,0.81
5447,1.5,1.55,-2.0,1.94,0.5,0.75,1.04,-2.0,0.83
5453,1.42,1.63,-2.0,2.24,0.5,0.75,1.15,-2.0,0.83
5458,1.41,1.75,-2.05,2.58,0.52,0.73,1.24,-2.05,0.84
5464,1.32,1.79,-1.98,2.94,0.49,0.76,1.36,-1.98,0.83
5469,1.74,2.35,-1.9,3.59,0.46,0.79,1.35,-1.9,0.89
5474,1.36,1.94,-1.91,3.27,0.47,0.78,1.43,-1.91,0.85
5480,1.13,1.77,-1.99,3.36,0.51,0.74,1.57,-1.99,0.82
5485,1.08,1.95,-1.93,4.31,0.51,0.74,1.81,-1.93,0.82
5490,1.11,2.2,-1.94,5.24,0.53,0.72,1.97,-1.94,0.83
5496,0.94,1.8,-2.04,4.29,0.56,0.69,1.91,-2.04,0.8
5501,0.99,2.06,-1.98,5.36,0.55,0.69,2.09,-1.98,0.81
5507,0.82,1.81,-2.09,5.2,0.6,0.64,2.22,-2.09,0.77
5512,0.73,1.63,-2.08,4.88,0.59,0.65,2.23,-2.08,0.75
5517,0.73,1.75,-2.15,5.51,0.63,0.61,2.38,-2.15,0.75
5523,0.48,1.26,-2.11,5.34,0.63,0.6,2.62,-2.11,0.62
5528,0.43,1.12,-2.38,5.02,0.71,0.5,2.59,-2.38,0.58
5534,0.46,1.31,-2.48,6.4,0.75,0.43,2.88,-2.48,0.59
5539,0.36,1.06,-2.69,6.29,0.83,0.32,2.91,-2.69,0.49
5544,0.35,0.99,-2.65,6.05,0.81,0.34,2.86,-2.65,0.47
5550,0.24,0.56,2.96,5.23,1.09,-0.2,2.35,2.96,0.25
5555,0.32,0.8,2.96,4.98,1.09,-0.19,2.53,2.96,0.41
5560,0.28,0.69,2.63,5.09,1.28,-0.64,2.46,2.63,0.34
5566,0.43,1.1,2.55,5.02,1.32,-0.75,2.55,2.55,0.56
5571,0.45,1.0,2.36,4.05,1.5,-1.26,2.24,2.36,0.55
5577,0.49,1.02,1.93,3.68,1.97,-2.87,2.11,1.93,0.59
5582,0.6,1.23,2.0,3.83,1.93,-2.71,2.05,2.0,0.66
5587,0.86,1.57,1.93,3.85,2.15,-3.62,1.82,1.93,0.74
5593,0.9,1.55,1.84,3.51,2.39,-4.71,1.73,1.84,0.76
5598,1.42,1.95,1.84,3.24,2.74,-6.52,1.37,1.84,0.82
5604,1.28,1.56,1.92,2.4,2.67,-6.14,1.21,1.92,0.79
5609,1.12,1.22,1.86,1.77,2.96,-7.74,1.09,1.86,0.75
5614,1.73,1.68,1.91,2.0,2.84,-7.08,0.97,1.91,0.82
5620,2.14,2.04,1.88,2.3,2.97,-7.83,0.95,1.88,0.85
5625,1.9,1.54,1.86,1.55,2.96,-7.77,0.81,1.86,0.81
5630,2.95,2.16,1.92,1.84,2.64,-5.96,0.73,1.92,0.86
5636,3.42,2.23,1.93,1.69,2.5,-5.25,0.65,1.93,0.86
5641,2.19,1.19,1.91,0.84,2.29,-4.25,0.54,1.91,0.77
5647,3.45,1.96,2.04,1.33,2.13,-3.53,0.57,2.04,0.84
5652,2.88,1.31,2.14,0.77,1.8,-2.25,0.45,2.14,0.77
5657,3.56,1.8,2.15,1.1,1.89,-2.56,0.51,2.15,0.83
5663,2.89,1.25,2.22,0.72,1.69,-1.87,0.43,2.22,0.75
5668,2.51,0.99,2.35,0.56,1.53,-1.35,0.39,2.35,0.69
5673,4.16,1.68,2.32,0.85,1.58,-1.49,0.4,2.32,0.8
5679,4.41,1.76,2.45,0.87,1.46,-1.15,0.4,2.45,0.81
5684,4.19,1.72,2.5,0.87,1.44,-1.06,0.41,2.5,0.81
5690,4.42,1.6,2.5,0.74,1.4,-0.95,0.36,2.5,0.79
5695,3.67,1.44,2.57,0.73,1.37,-0.88,0.39,2.57,0.78
5700,3.95,1.57,2.64,0.79,1.32,-0.75,0.4,2.64,0.79
5706,3.5,1.3,2.55,0.63,1.37,-0.89,0.37,2.55,0.77
5711,2.76,1.04,2.65,0.55,1.31,-0.71,0.38,2.65,0.72
5717,3.88,1.67,2.7,0.89,1.3,-0.7,0.43,2.7,0.81
5722,3.17,1.41,2.66,0.8,1.35,-0.82,0.45,2.66,0.79
5727,3.43,1.48,2.66,0.79,1.34,-0.79,0.43,2.66,0.8
5733,2.55,1.14,2.63,0.68,1.38,-0.91,0.45,2.63,0.76
5738,3.25,1.51,2.61,0.87,1.41,-1.0,0.46,2.61,0.81
5743,2.8,1.33,2.54,0.8,1.49,-1.21,0.47,2.54,0.79
5749,2.91,1.43,2.6,0.87,1.45,-1.09,0.49,2.6,0.8
5754,2.77,1.53,2.49,1.02,1.61,-1.6,0.55,2.49,0.83
5760,2.48,1.24,2.5,0.78,1.56,-1.44,0.5,2.5,0.79
5765,2.65,1.35,2.47,0.84,1.61,-1.61,0.51,2.47,0.81
5770,2.77,1.48,2.28,0.95,1.9,-2.59,0.53,2.28,0.83
5776,2.35,1.23,2.23,0.8,1.98,-2.91,0.52,2.23,0.81
5781,2.61,1.36,2.11,0.85,2.17,-3.72,0.52,2.11,0.83
5787,1.74,1.07,1.89,0.8,3.05,-8.28,0.62,1.89,0.83
5792,1.62,0.96,1.94,0.72,2.79,-6.8,0.59,1.94,0.79
5797,1.65,1.08,1.87,0.86,3.35,-10.21,0.66,1.87,0.82
5803,1.81,1.09,1.67,0.79,3.68,-12.55,0.6,1.67,0.83
5808,1.76,1.08,1.57,0.8,4.07,-15.6,0.62,1.57,0.84
5813,1.49,0.85,1.41,0.6,3.62,-12.14,0.57,1.41,0.82
5819,1.79,1.15,1.27,0.85,4.14,-16.13,0.64,1.27,0.87
5824,1.37,0.84,1.07,0.62,3.15,-8.89,0.62,1.07,0.84
5830,1.19,0.7,0.87,0.49,2.39,-4.73,0.59,0.87,0.84
5835,1.63,0.94,0.76,0.62,2.1,-3.42,0.58,0.76,0.89
5840,1.33,0.83,0.71,0.59,2.06,-3.24,0.63,0.71,0.88
5846,1.54,0.92,0.45,0.62,1.55,-1.39,0.6,0.45,0.9
5851,1.32,0.79,0.36,0.54,1.41,-0.99,0.6,0.36,0.88
5857,1.38,0.77,0.19,0.49,1.18,-0.4,0.56,0.19,0.88
5862,1.28,0.72,-0.06,0.46,0.95,0.1,0.57,-0.06,0.89
5867,1.65,0.95,-0.1,0.61,0.92,0.16,0.58,-0.1,0.91
5873,1.5,0.85,-0.21,0.55,0.83,0.31,0.57,-0.21,0.89
5878,1.5,0.8,-0.42,0.49,0.7,0.51,0.54,-0.42,0.88
5883,1.59,0.93,-0.52,0.61,0.62,0.61,0.58,-0.52,0.89
5889,1.26,0.68,-0.68,0.44,0.55,0.69,0.54,-0.68,0.83
5894,1.17,0.64,-0.88,0.44,0.46,0.79,0.54,-0.88,0.78
5900,1.07,0.5,-1.08,0.34,0.43,0.81,0.47,-1.08,0.69
5905,1.16,0.38,-1.1,0.23,0.55,0.69,0.33,-1.1,0.55
5910,1.47,0.69,-0.78,0.42,0.55,0.7,0.47,-0.78,0.78
5916,1.52,0.92,-1.15,0.67,0.33,0.89,0.6,-1.15,0.83
5921,1.36,0.65,-1.47,0.43,0.36,0.87,0.48,-1.47,0.73
5927,1.42,0.58,-1.63,0.36,0.42,0.82,0.41,-1.63,0.67
5932,1.36,0.59,-1.5,0.36,0.4,0.84,0.43,-1.5,0.7
5937,1.09,0.38,-2.02,0.3,0.53,0.72,0.35,-2.02,0.44
5943,1.34,0.3,-0.87,0.18,0.71,0.49,0.23,-0.87,0.39
5948,1.24,0.69,-1.29,0.51,0.33,0.89,0.56,-1.29,0.76
5953,0.84,0.47,-1.57,0.4,0.29,0.92,0.56,-1.57,0.65
5959,0.91,0.55,-2.04,0.52,0.32,0.9,0.6,-2.04,0.63
5964,0.92,0.47,-2.36,0.43,0.5,0.75,0.51,-2.36,0.56
5970,1.09,0.43,-2.45,0.31,0.61,0.63,0.4,-2.45,0.55
5975,1.08,0.44,-2.85,0.34,0.81,0.35,0.41,-2.85,0.52
5980,1.32,0.42,3.1,0.29,1.03,-0.06,0.32,3.1,0.47
5986,1.55,0.37,3.06,0.21,1.04,-0.08,0.24,3.06,0.41
5991,1.18,0.31,-3.03,0.21,0.94,0.11,0.27,-3.03,0.39
5996,1.18,0.34,-3.12,0.23,0.99,0.02,0.29,-3.12,0.41
6002,1.55,0.43,3.1,0.25,1.02,-0.04,0.28,3.1,0.47
6007,1.8,0.52,-3.1,0.28,0.98,0.04,0.29,-3.1,0.54
6013,1.71,0.61,2.85,0.37,1.22,-0.49,0.36,2.85,0.59
6018,1.85,0.88,2.66,0.59,1.53,-1.33,0.48,2.66,0.71
6023,2.66,1.06,2.37,0.57,1.76,-2.1,0.4,2.37,0.75
6029,1.66,0.73,2.17,0.48,2.16,-3.66,0.44,2.17,0.68
6034,3.17,1.34,1.93,0.7,2.34,-4.47,0.42,1.93,0.81
6040,2.53,1.13,1.92,0.64,2.48,-5.17,0.45,1.92,0.79
6045,2.63,1.16,1.68,0.64,2.56,-5.53,0.44,1.68,0.8
6050,2.51,1.18,1.54,0.67,2.65,-6.03,0.47,1.54,0.82
6056,2.98,1.45,1.29,0.8,2.43,-4.91,0.49,1.29,0.88
6061,2.92,1.41,1.2,0.78,2.26,-4.13,0.48,1.2,0.87
6066,4.06,2.06,1.14,1.14,2.24,-4.0,0.51,1.14,0.91
6072,3.28,1.62,1.0,0.89,1.98,-2.94,0.49,1.0,0.9
6077,3.57,1.89,0.92,1.09,1.92,-2.69,0.53,0.92,0.92
6083,3.89,2.05,0.78,1.17,1.72,-1.95,0.53,0.78,0.93
6088,3.95,2.26,0.72,1.38,1.68,-1.83,0.57,0.72,0.94
6093,4.47,2.61,0.63,1.61,1.57,-1.46,0.59,0.63,0.95
6099,3.59,2.13,0.49,1.34,1.42,-1.01,0.59,0.49,0.95
6104,3.12,1.9,0.34,1.22,1.27,-0.61,0.61,0.34,0.95
6110,4.38,2.58,0.28,1.58,1.21,-0.46,0.59,0.28,0.96
6115,4.93,2.73,0.18,1.57,1.12,-0.26,0.55,0.18,0.96
6120,4.75,2.53,0.11,1.4,1.07,-0.15,0.53,0.11,0.96
6126,5.23,2.64,0.07,1.38,1.05,-0.1,0.5,0.07,0.96
6131,4.31,2.09,0.06,1.07,1.04,-0.08,0.49,0.06,0.95
6136,4.53,2.15,0.1,1.07,1.06,-0.13,0.47,0.1,0.95
6142,5.09,2.55,0.1,1.33,1.06,-0.12,0.5,0.1,0.96
6147,5.84,2.93,0.13,1.53,1.08,-0.17,0.5,0.13,0.97
6153,4.11,2.18,0.1,1.21,1.06,-0.12,0.53,0.1,0.96
6158,4.62,2.44,0.06,1.34,1.04,-0.07,0.53,0.06,0.96
6163,3.81,2.09,0.09,1.19,1.06,-0.12,0.55,0.09,0.96
6169,4.32,2.59,0.09,1.61,1.06,-0.12,0.6,0.09,0.96
6174,3.5,2.24,0.02,1.49,1.01,-0.03,0.64,0.02,0.96
6180,3.19,2.28,0.03,1.69,1.02,-0.04,0.72,0.03,0.96
6185,3.54,2.56,0.02,1.92,1.01,-0.03,0.72,0.02,0.97
6190,2.66,2.13,-0.01,1.77,1.0,0.01,0.8,-0.01,0.96
6196,2.11,1.68,-0.12,1.41,0.92,0.15,0.8,-0.12,0.95
6201,2.18,1.9,-0.12,1.74,0.93,0.14,0.87,-0.12,0.95
6206,1.91,1.81,-0.22,1.8,0.87,0.25,0.95,-0.22,0.95
6212,1.75,1.71,-0.25,1.76,0.85,0.28,0.98,-0.25,0.95
6217,1.62,1.59,-0.3,1.67,0.82,0.32,0.98,-0.3,0.94
6223,0.97,1.06,-0.32,1.27,0.81,0.34,1.09,-0.32,0.91
6228,1.06,1.17,-0.43,1.43,0.76,0.43,1.11,-0.43,0.9
6233,0.69,0.8,-0.58,1.1,0.69,0.53,1.16,-0.58,0.85
6239,0.68,0.78,-0.59,1.05,0.68,0.54,1.14,-0.59,0.85
6244,0.45,0.53,-0.79,0.87,0.59,0.65,1.19,-0.79,0.73
6250,0.49,0.59,-0.91,0.94,0.54,0.71,1.19,-0.91,0.74
6255,0.42,0.47,-1.13,0.78,0.44,0.8,1.11,-1.13,0.67
6260,0.37,0.35,-1.32,0.58,0.36,0.87,0.95,-1.32,0.57
6266,0.38,0.28,-1.68,0.45,0.24,0.94,0.75,-1.68,0.48
6271,0.45,0.28,-1.71,0.36,0.3,0.91,0.63,-1.71,0.5
6276,0.73,0.4,-1.97,0.38,0.33,0.89,0.55,-1.97,0.57
6282,0.55,0.24,-1.8,0.25,0.43,0.81,0.44,-1.8,0.43
6287,1.11,0.39,-1.92,0.25,0.53,0.72,0.35,-1.92,0.54
6293,1.07,0.31,-1.5,0.17,0.61,0.63,0.29,-1.5,0.53
6298,1.31,0.42,-1.64,0.22,0.57,0.68,0.32,-1.64,0.6
6303,1.35,0.31,-1.41,0.15,0.69,0.53,0.23,-1.41,0.48
6309,2.05,0.55,-1.3,0.22,0.67,0.56,0.27,-1.3,0.66
6314,2.5,0.68,-1.12,0.25,0.69,0.52,0.27,-1.12,0.73
6319,2.63,0.72,-0.99,0.26,0.72,0.48,0.27,-0.99,0.76
6325,3.03,0.87,-0.94,0.32,0.72,0.47,0.29,-0.94,0.79
6330,3.83,1.11,-0.88,0.38,0.74,0.45,0.29,-0.88,0.84
6336,3.86,1.22,-0.82,0.44,0.74,0.45,0.32,-0.82,0.87
6341,2.75,0.95,-0.84,0.39,0.72,0.48,0.35,-0.84,0.86
6346,3.46,1.18,-0.83,0.46,0.73,0.47,0.34,-0.83,0.88
6352,4.91,1.83,-0.68,0.74,0.76,0.42,0.37,-0.68,0.93
6357,5.79,2.16,-0.74,0.86,0.75,0.44,0.37,-0.74,0.94
6363,4.46,1.74,-0.68,0.73,0.76,0.42,0.39,-0.68,0.93
6368,4.87,1.93,-0.68,0.82,0.76,0.42,0.4,-0.68,0.93
6373,6.02,2.48,-0.66,1.08,0.76,0.42,0.41,-0.66,0.95
6379,4.28,1.76,-0.65,0.77,0.77,0.41,0.41,-0.65,0.93
6384,6.6,2.93,-0.66,1.35,0.76,0.43,0.44,-0.66,0.96
6389,6.03,2.82,-0.65,1.38,0.76,0.42,0.47,-0.65,0.96
6395,6.6,3.12,-0.62,1.53,0.77,0.41,0.47,-0.62,0.96
6400,8.25,3.93,-0.61,1.92,0.77,0.4,0.48,-0.61,0.97
6406,6.72,3.35,-0.65,1.72,0.76,0.43,0.5,-0.65,0.97
6411,7.95,4.17,-0.69,2.24,0.74,0.45,0.52,-0.69,0.98
6416,6.13,3.22,-0.64,1.74,0.76,0.42,0.52,-0.64,0.97
6422,6.32,3.36,-0.65,1.85,0.76,0.43,0.53,-0.65,0.97
6427,7.8,4.34,-0.63,2.48,0.76,0.42,0.56,-0.63,0.98
6433,6.88,3.94,-0.62,2.32,0.76,0.42,0.57,-0.62,0.97
6438,6.9,3.9,-0.62,2.26,0.77,0.41,0.57,-0.62,0.98
6443,5.83,3.46,-0.62,2.12,0.76,0.42,0.59,-0.62,0.97
6449,5.37,3.28,-0.62,2.06,0.77,0.41,0.61,-0.62,0.97
6454,5.1,3.26,-0.61,2.14,0.77,0.41,0.64,-0.61,0.97
6459,5.39,3.47,-0.6,2.29,0.77,0.4,0.64,-0.6,0.97
6465,6.43,4.28,-0.61,2.91,0.77,0.41,0.67,-0.61,0.98
6470,3.23,2.27,-0.6,1.67,0.77,0.4,0.7,-0.6,0.96
6476,4.45,3.21,-0.61,2.38,0.77,0.41,0.72,-0.61,0.97
6481,3.79,2.71,-0.59,2.02,0.78,0.39,0.72,-0.59,0.96
6486,3.11,2.41,-0.66,1.94,0.75,0.43,0.77,-0.66,0.96
6492,2.95,2.26,-0.66,1.81,0.76,0.43,0.77,-0.66,0.96
6497,2.13,1.66,-0.66,1.38,0.76,0.42,0.78,-0.66,0.94
6503,2.51,2.1,-0.7,1.84,0.74,0.45,0.84,-0.7,0.95
6508,1.78,1.49,-0.67,1.33,0.76,0.43,0.84,-0.67,0.93
6513,1.86,1.58,-0.73,1.45,0.74,0.46,0.85,-0.73,0.93
6519,1.43,1.23,-0.79,1.15,0.72,0.48,0.86,-0.79,0.92
6524,1.48,1.4,-0.77,1.42,0.73,0.47,0.94,-0.77,0.92
6529,1.23,1.13,-0.84,1.14,0.71,0.5,0.92,-0.84,0.91
6535,1.28,1.1,-0.88,1.04,0.7,0.51,0.85,-0.88,0.9
6540,1.0,0.87,-0.92,0.87,0.69,0.53,0.88,-0.92,0.88
